CC Number,Date,Time,Accident Type,New Georeferenced Column,Month_Year,Latitude,Longitude,Hour
19CS00072041,2019-04-12,4/12/2019 7:45:00 PM,3,"(38.98807, -76.35499)",2019-04,38.98807,-76.35499,19.0
19CS00082980,2019-04-28,4/29/2019 1:46:00 AM,3,"(39.244952, -76.577341)",2019-04,39.244952,-76.577341,1.0
20CS00118175,2020-07-16,7/18/2020 5:35:00 AM,6,"(39.07619522, -76.90696919)",2020-07,39.07619522,-76.90696919,5.0
20CS00116936,2020-07-14,7/17/2020 11:10:00 PM,6,"(39.08727726, -76.97976361)",2020-07,39.08727726,-76.97976361,23.0
20CS00115004,2020-07-11,7/11/2020 1:18:00 AM,6,"(39.2802, -76.5534)",2020-07,39.2802,-76.5534,1.0
20CS00119386,2020-07-19,7/19/2020 10:00:00 AM,6,"(39.20849856, -76.54320632)",2020-07,39.20849856,-76.54320632,10.0
20CS00118037,2020-07-16,7/16/2020 3:01:00 PM,3,"(39.26516, -76.56294)",2020-07,39.26516,-76.56294,15.0
20CS00115168,2020-07-11,7/11/2020 11:45:00 AM,3,"(39.26338, -76.66936)",2020-07,39.26338,-76.66936,11.0
20CS00117401,2020-07-15,7/15/2020 1:43:00 PM,3,"(39.32248699, -76.52940362)",2020-07,39.32248699,-76.52940362,13.0
20CS00116103,2020-07-13,7/13/2020 10:30:00 AM,3,"(39.08595, -77.0201)",2020-07,39.08595,-77.0201,10.0
20CS00119132,2020-07-18,7/19/2020 4:42:00 PM,3,"(38.35972073, -77.0112123)",2020-07,38.35972073,-77.0112123,16.0
20CS00116381,2020-07-13,7/14/2020 10:12:00 PM,6,"(39.2562031, -76.6767936)",2020-07,39.2562031,-76.6767936,22.0
20CS00115728,2020-07-12,7/15/2020 5:12:00 PM,3,"(39.3227294, -76.5228574)",2020-07,39.3227294,-76.5228574,17.0
20CS00119392,2020-07-19,7/19/2020 10:21:00 AM,6,"(39.26697243, -76.60735182)",2020-07,39.26697243,-76.60735182,10.0
20CS00117486,2020-07-15,7/16/2020 5:15:00 PM,6,"(39.26504314, -76.59276489)",2020-07,39.26504314,-76.59276489,17.0
20CS00118208,2020-07-16,7/17/2020 11:30:00 PM,6,"(39.26667, -76.5609)",2020-07,39.26667,-76.5609,23.0
20CS00116622,2020-07-14,7/14/2020 10:36:00 AM,6,"(39.2538286, -76.57154861)",2020-07,39.2538286,-76.57154861,10.0
20CS00115733,2020-07-12,7/14/2020 5:20:00 PM,6,"(39.3283, -76.52471)",2020-07,39.3283,-76.52471,17.0
20CS00118631,2020-07-17,7/17/2020 3:51:00 PM,3,"(38.98915936, -76.35976193)",2020-07,38.98915936,-76.35976193,15.0
20CS00117213,2020-07-15,7/15/2020 8:30:00 AM,6,"(39.243401, -76.5669347)",2020-07,39.243401,-76.5669347,8.0
20CS00116577,2020-07-14,7/14/2020 9:20:00 AM,3,"(39.27080906, -76.64339077)",2020-07,39.27080906,-76.64339077,9.0
20CS00117382,2020-07-15,7/15/2020 1:21:00 PM,3,"(39.363612, -76.47357)",2020-07,39.363612,-76.47357,13.0
20CS00115619,2020-07-12,7/12/2020 12:16:00 PM,6,"(39.00507741, -76.40205157)",2020-07,39.00507741,-76.40205157,12.0
20CS00118613,2020-07-17,7/18/2020 3:22:00 PM,6,"(39.26697243, -76.60735182)",2020-07,39.26697243,-76.60735182,15.0
P2000056154,2020-09-28,10/4/2020 5:00:00 PM,6,"(39.19707871, -76.69077509)",2020-09,39.19707871,-76.69077509,17.0
20CS00156397,2020-09-26,9/26/2020 2:55:00 PM,6,"(39.00834181, -76.40405426)",2020-09,39.00834181,-76.40405426,14.0
20CS00157389,2020-09-28,9/30/2020 3:58:00 PM,6,"(39.27154374, -76.65216212)",2020-09,39.27154374,-76.65216212,15.0
20CS00156264,2020-09-26,9/27/2020 7:20:00 AM,3,"(39.2652, -76.5587)",2020-09,39.2652,-76.5587,7.0
20CS00156983,2020-09-27,10/6/2020 9:00:00 PM,6,"(39.29145, -76.56648)",2020-09,39.29145,-76.56648,21.0
20CS00156269,2020-09-26,9/27/2020 7:43:00 AM,3,"(39.2707922, -76.64566583)",2020-09,39.2707922,-76.64566583,7.0
20CS00156608,2020-09-27,10/1/2020 12:47:00 AM,3,"(39.267538, -76.619396)",2020-09,39.267538,-76.619396,0.0
20CS00156301,2020-09-26,9/27/2020 9:54:00 AM,6,"(39.33969, -76.51517)",2020-09,39.33969,-76.51517,9.0
